"HS8","HS6","DESC","COUNT","LDESC1","LDESC2","LDESC3","LDESC4","LDESC5","LDESC6","LDESC7","LDESC8","LDESC9","LDESC10","UNITID","UYEAR","UNITID1","UYEAR1","UNITID2","UYEAR2","UNITID3","UYEAR3","UNITID4","UYEAR4","UNITID5","UYEAR5","UNITID6","UYEAR6","UNITID7","UYEAR7","UNITID8","UYEAR8","UNITID9","UYEAR9","MAIN1994","SUB1994","MAIN1995","SUB1995","MAIN1996","SUB1996","MAIN1997","SUB1997","MAIN","SUB","CDESC"
28121080,281210,THIONYL CHLORIDE,1,THIONYL CHLORIDE,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,03,12,Ｔｈｉｏｎｙｌ　ｃｈｌｏｒｉｄｅ
28121090,281210,"CHLORIDES AND CHLORIDE OXIDES OF NON-METALS, NESOI",,,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,非金屬氯化物及氯氧化物，未列明或未包括在其他編號
28121100,281211,CARBONYL DICHLORIDE (PHOSGENE),,,,,,,,,,,,8,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,二氯化羰（碳?氯）
28121200,281212,PHOSPHORUS OXYCHLORIDE,,,,,,,,,,,,8,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,氧氯化磷
28121300,281213,PHOSPHORUS TRICHLORIDE,,,,,,,,,,,,8,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,三氯化磷
28121400,281214,PHOSPHORUS PENTACHLORIDE,,,,,,,,,,,,8,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,五氯化磷
28121500,281215,SULPHUR MONOCHLORIDE,,,,,,,,,,,,8,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一氯化硫
28121600,281216,SULPHUR DICHLORIDE,,,,,,,,,,,,8,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,二氯化硫
28121700,281217,THIONYL CHLORIDE,,,,,,,,,,,,8,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,亞硫?二氯
28121910,281219,ARSENIC TRICHLORIDE,,,,,,,,,,,,8,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,三氯化砷
28121990,281219,"CHLORIDES AND CHLORIDE OXIDES,OTHERTHAN CARBONYL DICHLORIDE(PHOSGENE),PHOSPHORUS OXYCHLORIDE,PHOSPHORUS TRICHLORIDE,PHOSPHORUS PENTACHLORIDE,SULPHUR MONOCHLORIDE,SULPHUR DICHLORIDE,THIONYL CHLORIDE AND ARSENIC TRICHLORIDE",,,,,,,,,,,,8,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,氯化物及氯氧化物，二氯化羰（碳?氯）、氧氯化磷、三氯化磷、五氯化磷、一氯化硫、二氯化硫、亞硫?二氯及三氯化砷除外
28129000,281290,"HALIDES AND HALIDE OXIDES OF NONMETALS, EXCEPT CHLORIDESAND CHLORIDE OXIDES, NESOI",2,"HALIDES AND HALIDE OXIDES OF NONMETALS, EXCEPT CHLORIDES","AND CHLORIDE OXIDES, NESOI",,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,其他氯化物及氯氧化物
28129010,281290,SULPHUR HEXAFLUORIDE (SF6),,,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,六氟化硫
28129090,281290,"HALIDES AND HALIDE OXIDES OF NONMETALS (OTHER THAN CHLORIDESAND CHLORIDE OXIDES, SULPHUR HEXAFLUORIDE (SF6)), NESOI",,,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,非金屬鹵化物及鹵氧化物（氯化物及氯氧化物、六氟化硫除外），未列明或未包括在其他編號
28131000,281310,CARBON DISULPHIDE,1,CARBON DISULPHIDE,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,二硫化碳
28139000,281390,"SULPHIDES OF NON-METALS, OTHER THAN CARBON DISULPHIDES;COMMERCIAL PHOSPHORUS TRISULPHIDE",,,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,非金屬硫化物，二硫化碳除外；商業用三硫化二磷
28141000,281410,ANHYDROUS AMMONIA,1,ANHYDROUS AMMONIA,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,無水氨
28142000,281420,AMMONIA IN AQUEOUS SOLUTION,1,AMMONIA IN AQUEOUS SOLUTION,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,氨溶液
28151100,281511,"SODIUM HYDROXIDE (CAUSTIC SODA), SOLID",1,"SODIUM HYDROXIDE (CAUSTIC SODA), SOLID",,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,固體氫氧化鈉（苛性蘇打）
28151200,281512,"SODIUM HYDROXIDE (CAUSTIC SODA), IN AQUEOUS SOLUTION (SODALYE OR LIQUID SODA)",2,"SODIUM HYDROXIDE (CAUSTIC SODA), IN AQUEOUS SOLUTION (SODA",LYE OR LIQUID SODA),,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,氫氧化鈉濃溶液或液體蘇打
28152000,281520,POTASSIUM HYDROXIDE (CAUSTIC POTASH),1,POTASSIUM HYDROXIDE (CAUSTIC POTASH),,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,氫氧化鉀（苛性鉀）
28153000,281530,SODIUM PEROXIDE AND POTASSIUM PEROXIDE,,,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,過氧化鈉及過氧化鉀
28161010,281610,PEROXIDES OF MAGNESIUM,1,PEROXIDES OF MAGNESIUM,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,過氧化鎂
28161020,281610,HYDROXIDE OF MAGNESIUM,1,HYDROXIDE OF MAGNESIUM,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,氫氧化鎂
28162000,281620,"STRONTIUM OXIDE, STRONTIUM HYDROXIDE AND STRONTIUM PEROXIDE",1,"STRONTIUM OXIDE, STRONTIUM HYDROXIDE AND STRONTIUM PEROXIDE",,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,氧化鍶、氫氧化鍶及過氧化鍶
28163000,281630,"BARIUM OXIDE, BARIUM HYDROXIDES AND BARIUM PEROXIDES",1,"BARIUM OXIDE, BARIUM HYDROXIDES AND BARIUM PEROXIDES",,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,氧化鋇、氫氧化鋇及過氧化鋇
28164000,281640,"OXIDES, HYDROXIDES AND PEROXIDES, OF STRONTIUM OR BARIUM",,,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,氧化、氫氧化和過氧化的鍶和鋇
28170010,281700,ZINC OXIDE,1,ZINC OXIDE,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,氧化鋅
28170020,281700,ZINC PEROXIDE,1,ZINC PEROXIDE,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,過氧化鋅
